(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Mobile app,Sessions – Mobile APP – B2B,Sessions – Browser,Sessions – Browser – B2B,Sessions – Total,Sessions – Total – B2B,Session percentage – Mobile App,Session percentage – Mobile APP – B2B,Session percentage – Browser,Session percentage – Browser – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Mobile app,Page views – Mobile APP – B2B,Page views – Browser,Page views – Browser – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Mobile App,Page views percentage – Mobile app – B2B,Page views percentage – Browser,Page views percentage – Browser – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B,conversion_rate,aov
B0F9ZSK739,B004L5EP8I,"Lee Kum Kee Sweet and Sour Sauce, Professional Range Bulk Size, Vegan, 2.3 kg (Pack of 1)",ORI06B Prime,"1,404",21,942,18,2346,39,0.42%,0.51%,0.40%,0.11%,0.41%,0.19%,"1,811",26,"1,237",26,"3,048",52,0.41%,0.46%,0.40%,0.12%,0.41%,0.19%,1.81%,0.00%,1,0,0.04%,0.00%,17.12,£0.00,1,0,0.042625745950554135,17.12
B0DFVLC2J7,B00DHELW76,Fentimans Curiosity Cola - Botanically Brewed Cola - Exquisitely Crafted & Refreshing Soft Drinks - Gluten-Free and Vegan Friendly Soft Drinks - 12 x 275ml Bottles,FENTIM001 - 001 Prime,"1,458",20,"1,009",37,2467,57,0.43%,0.49%,0.43%,0.23%,0.43%,0.28%,"1,937",27,"1,324",50,"3,261",77,0.44%,0.48%,0.43%,0.22%,0.43%,0.28%,0.03%,0.00%,1,0,0.04%,0.00%,27.84,£0.00,1,0,0.040535062829347386,27.84
B0D7MWQHHF,B0BCQCKK12,"ManiLife Original Roast Smooth Peanut Butter, 900g Tub - Small Batch Vegan Peanut Butter Made from Single Origin Grade-A Argentine Peanuts - No Palm Oil, No Added Sugar, No GMOs",SPR32 - 001,"1,742",17,985,14,2727,31,0.52%,0.41%,0.42%,0.09%,0.47%,0.15%,"2,289",23,"1,327",19,"3,616",42,0.52%,0.41%,0.43%,0.09%,0.48%,0.15%,0.00%,0.00%,1,0,0.04%,0.00%,20.53,£0.00,1,0,0.03667033370003667,20.53
B0C89JLSNL,B00V7ODZQO,Mae Ploy Massaman Curry Paste - 400gram,ORI23 - 001,"1,425",16,"1,330",21,2755,37,0.42%,0.39%,0.56%,0.13%,0.48%,0.18%,"1,920",22,"1,725",31,"3,645",53,0.44%,0.39%,0.56%,0.14%,0.49%,0.19%,0.00%,0.00%,1,0,0.04%,0.00%,6.95,£0.00,1,0,0.03629764065335753,6.95
B0F9WJMNT9,B098TXJPWK,Kleenex® Take a Moment Collection Tissues - 12 Cube Tissue Boxes - in Aid of Mind - Contains 4 Different Designs,NAPKIN82 - 001 Prime,"1,528",18,"1,285",360,2813,378,0.45%,0.44%,0.54%,2.25%,0.49%,1.88%,"2,060",27,"1,737",464,"3,797",491,0.47%,0.48%,0.56%,2.08%,0.51%,1.76%,0.03%,0.00%,1,0,0.04%,0.00%,26.95,£0.00,1,0,0.03554923569143263,26.95
B07BMCDZ63,B004QPHXL4,"Yorkshire Tea, One Cup Tea Bags 3 Kg",TEA11 - 012,"3,580",13,"2,157",45,5737,58,1.06%,0.32%,0.91%,0.28%,1.00%,0.29%,"3,855",15,"2,400",52,"6,255",67,0.88%,0.27%,0.77%,0.23%,0.83%,0.24%,12.22%,0.00%,2,0,0.03%,0.00%,68.76,£0.00,2,0,0.03486142583231654,34.38
B00IARWA6W,B00IARWA6W,KTC 100% Pure Coconut Oil 500ml (Pack of 3),OIL27A - 002 Prime,"2,012",24,"1,299",28,3311,52,0.60%,0.58%,0.55%,0.17%,0.58%,0.26%,"2,655",35,"1,657",35,"4,312",70,0.60%,0.62%,0.53%,0.16%,0.57%,0.25%,0.00%,0.00%,1,0,0.03%,0.00%,13.99,£0.00,1,0,0.030202355783751134,13.99
B0BM5LMH3D,B000I6QXAM,Kenco Smooth Instant Coffee - 1 x 750g Tin,COF06 - 004,"2,641",42,"4,556","1,729",7197,"1,771",0.78%,1.02%,1.92%,10.80%,1.25%,8.80%,"3,419",51,"6,391","2,542","9,810","2,593",0.78%,0.91%,2.06%,11.41%,1.31%,9.29%,0.00%,0.00%,2,0,0.03%,0.00%,79.5,£0.00,1,0,0.027789356676392943,39.75
B0BPNLP1Z9,B01EX151MS,( 5ltr Pack ) Fairy Professional Washing Up Liquid Original 5L,CLE01B - 003,"2,506",46,"1,610",179,4116,225,0.74%,1.12%,0.68%,1.12%,0.72%,1.12%,"3,386",62,"2,165",230,"5,551",292,0.77%,1.10%,0.70%,1.03%,0.74%,1.05%,0.00%,0.00%,1,0,0.02%,0.00%,20.69,£0.00,1,0,0.024295432458697763,20.69
B0CH1LNQ4Y,B07C9PK7XJ,"MONIN Premium Salted Caramel Sauce 500ml for Frappes, Desserts, Cocktails, Hot Chocolates and Garnishes. Vegetarian, Nut-Free, Gluten-Free. 100% Natural Flavour. Squeezy Bottle for Easy Use",MONINT03 - 001,"2,982",33,"1,245",36,4227,69,0.88%,0.80%,0.52%,0.22%,0.73%,0.34%,"4,212",55,"1,701",48,"5,913",103,0.96%,0.98%,0.55%,0.22%,0.79%,0.37%,0.00%,0.00%,1,0,0.02%,0.00%,12.06,£0.00,1,0,0.02365744026496333,12.06
B0CHW3HGWD,B00LJXQID0,"Special Ingredients Crackle Crystals Popping Candy 500g - Suitable for Vegetarians, Non-GMO, Gluten Free, Non-Irradiated",SWE21 - 001,"3,715",21,685,23,4400,44,1.10%,0.51%,0.29%,0.14%,0.76%,0.22%,"4,199",25,769,33,"4,968",58,0.95%,0.44%,0.25%,0.15%,0.66%,0.21%,9.51%,7.69%,1,1,0.02%,2.27%,19.02,£19.02,1,1,0.022727272727272728,19.02
B077B7FX6C,B077B7FX6C,Food Connections | Classic Mix Flapjack Bars | 30 x 100g Bars | 6 Delicious Flavours,DAN10B - 001,"2,836",24,"1,817",81,4653,105,0.84%,0.58%,0.77%,0.51%,0.81%,0.52%,"3,926",38,"2,439",118,"6,365",156,0.89%,0.67%,0.79%,0.53%,0.85%,0.56%,0.10%,0.00%,1,0,0.02%,0.00%,25.02,£0.00,1,0,0.02149151085321298,25.02
B0DFYWQKGK,B07CJGT17P,PG Tips Original | Black Tea Bags Bulk | One Cup | Refreshing & Flavourful | Ideal For Office Catering | 1100 Plant Based Biodegradable Square Teabags,TEA50,"4,108",60,"6,808","1,155",10916,"1,215",1.22%,1.46%,2.87%,7.22%,1.90%,6.04%,"5,384",72,"8,911","1,483","14,295","1,555",1.22%,1.28%,2.87%,6.66%,1.90%,5.57%,0.01%,0.07%,2,2,0.02%,0.16%,60.4,£60.40,2,2,0.01832172957127153,30.2
B0F28CW6KM,B017NVHSF8,Pepsi Max No Sugar Cola Cans 24 x 330ml,CAN23 - 007 Prime,"36,530",334,"19,524",700,56054,"1,034",10.81%,8.11%,8.23%,4.37%,9.74%,5.14%,"47,203",463,"26,297","1,102","73,500","1,565",10.73%,8.22%,8.47%,4.95%,9.79%,5.61%,0.00%,0.00%,6,0,0.01%,0.00%,112.44,£0.00,4,0,0.010703964034680843,18.74
B0D9WH944K,B0CJK658DF,Oatly Barista Oat Drink Long Life 6x1Litre,ALP31 - 003,"69,932",597,"29,609","2,180",99541,"2,777",20.69%,14.50%,12.47%,13.62%,17.30%,13.80%,"90,518",824,"38,892","3,140","129,410","3,964",20.57%,14.63%,12.52%,14.10%,17.24%,14.21%,0.01%,0.24%,10,9,0.01%,0.32%,169.6,£152.64,8,7,0.010046111652484906,16.96
